DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
22-Apr-2026,EQ,"220.26","232.40","217.65","220.25","232.40","229.62","226.33","376.95","177.84",1735346,"39,27,55,752.93",18608
21-Apr-2026,EQ,"212.25","222.00","212.25","214.39","220.24","220.25","219.74","376.95","177.84",705340,"15,49,92,793.86",9248
20-Apr-2026,EQ,"224.19","224.19","213.50","222.66","214.40","214.39","217.39","376.95","177.84",906600,"19,70,82,983.97",10298
17-Apr-2026,EQ,"228.16","230.20","220.50","228.16","223.31","222.66","224.14","376.95","177.84",984748,"22,07,17,980.25",12968
16-Apr-2026,EQ,"222.01","229.00","220.00","220.81","228.11","228.16","224.71","376.95","177.84",1866779,"41,94,91,879.88",18864
15-Apr-2026,EQ,"211.50","222.69","208.46","205.96","220.06","220.81","216.46","376.95","177.84",1817824,"39,34,80,481.27",19260
13-Apr-2026,EQ,"199.00","207.25","195.73","204.30","206.00","205.96","202.86","376.95","177.84",1116888,"22,65,67,036.80",12226
10-Apr-2026,EQ,"204.99","208.45","201.72","201.77","205.25","204.30","205.15","376.95","154.15",1009300,"20,70,53,010.96",11068
09-Apr-2026,EQ,"201.00","213.24","199.97","201.62","201.32","201.77","205.75","376.95","154.15",1241615,"25,54,65,230.80",15035
08-Apr-2026,EQ,"198.64","203.13","196.89","191.83","202.00","201.62","200.42","376.95","154.15",876831,"17,57,32,697.27",10464
07-Apr-2026,EQ,"193.17","193.17","189.20","193.17","191.50","191.83","191.59","376.95","154.15",383888,"7,35,49,139.11",6064
06-Apr-2026,EQ,"195.00","195.02","186.61","193.50","193.45","193.17","190.99","376.95","154.15",683601,"13,05,61,246.12",10240
02-Apr-2026,EQ,"191.00","194.50","184.49","192.51","193.85","193.50","189.33","376.95","151.00",918878,"17,39,74,207.68",12210
01-Apr-2026,EQ,"187.84","194.00","185.18","179.86","193.00","192.51","190.65","376.95","151.00",893828,"17,04,07,187.69",12110
30-Mar-2026,EQ,"189.75","189.78","177.84","190.21","180.33","179.86","182.48","376.95","151.00",1315804,"24,01,01,582.30",15593
27-Mar-2026,EQ,"199.66","205.78","188.30","201.65","189.99","190.21","192.02","376.95","142.00",1683724,"32,33,09,975.57",18441
25-Mar-2026,EQ,"198.99","205.75","198.50","197.05","201.40","201.65","202.36","376.95","142.00",851170,"17,22,40,871.99",12266
24-Mar-2026,EQ,"193.83","200.70","192.98","189.94","197.25","197.05","197.31","376.95","142.00",1067763,"21,06,76,016.41",14420
